,class,tax_order,family,genus,species
139682,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,maculatus
139731,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,majalis
139772,Actinopterygii,Perciformes,Centrarchidae,Micropterus,sp.
139776,Actinopterygii,Cypriniformes,Cyprinidae,Lythrurus,umbratilis
139788,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,lutrensis
139819,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,natalis
139836,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,similis
140037,Actinopterygii,Clupeiformes,Clupeidae,Harengula,jaguana
140038,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,sp.
140062,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,clarkii
140855,Actinopterygii,Esociformes,Umbridae,Umbra,pygmaea
140868,Actinopterygii,Perciformes,Cichlidae,Tilapia,melanopleura
140899,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,diaphanus
140951,Actinopterygii,Cypriniformes,Catostomidae,Ictiobus,cyprinellus
140964,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis
141100,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Cyprinodon,macularius
141116,Actinopterygii,Perciformes,Anabantidae,Anabas,scandens
141192,Actinopterygii,Cypriniformes,Cyprinidae,Gibelion,catla
141403,Actinopterygii,Cypriniformes,Cyprinidae,Tinca,tinca
141554,Actinopterygii,Perciformes,Cichlidae,Tilapia,rendalli
141564,Actinopterygii,Gonorhynchiformes,Chanidae,Chanos,chanos
141631,Actinopterygii,Cypriniformes,Balitoridae,Barbatula,barbatula
141638,Actinopterygii,Siluriformes,Clariidae,Clarias,lazera
141745,Actinopterygii,Cypriniformes,Cobitidae,Lepidocephalichthys,thermalis
141882,Actinopterygii,Perciformes,Cichlidae,Tilapia,sparrmanii
141990,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,gonionotus
142081,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,carassius
142203,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,erythrophthalmus
142262,Actinopterygii,Cypriniformes,Cyprinidae,Leucaspius,delineatus
142321,Actinopterygii,Osteoglossiformes,Notopteridae,Notopterus,notopterus
142691,Actinopterygii,Cypriniformes,Cyprinidae,Danio,sp.
142723,Actinopterygii,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
