,train_acc,test_acc,train_rmse,test_rmse,l1_ratio,fit_intercept,C
mod44,0.6504920017652411,0.6475593041758752,0.8008569995960155,0.8031385660235726,0.0,False,0.1
mod45,0.6504642017860576,0.647726109847268,0.8009265291731665,0.803034394684403,0.1,False,0.1
mod46,0.6504225003682095,0.6477816962841774,0.801003996425391,0.8029996816408197,0.2,False,0.1
mod47,0.6504086008616419,0.6477260943937131,0.8010396754713657,0.8029317678877937,0.3,False,0.1
mod48,0.6504225003682095,0.6478372981746416,0.800964140919957,0.8028626831957106,0.4,False,0.1
mod49,0.650450300347393,0.6478372981746416,0.8009896653581953,0.8028626831957106,0.5,False,0.1
mod50,0.650450300347393,0.6479484865020153,0.8009902656228117,0.802691567130864,0.6,False,0.1
mod51,0.6504225003682094,0.6479484865020153,0.801033486550254,0.802691567130864,0.7,False,0.1
mod52,0.6504086008616419,0.6479484865020153,0.8011761292819758,0.802691567130864,0.8,False,0.1
mod53,0.6504225003682095,0.6478928691579962,0.8011677344268767,0.8028292392325971,0.9,False,0.1
mod54,0.6504086008616419,0.6478372672675319,0.8012298632377389,0.8028647834615302,1.0,False,0.1
mod55,0.5910014209994572,0.5915710439324476,0.8630131740921684,0.8596869320480145,0.0,True,0.1
mod56,0.5898199494165385,0.5902365985613051,0.8628531901302143,0.8616272505008273,0.1,True,0.1
mod57,0.5898755474428086,0.5903478023422336,0.8627414190324597,0.8614662693100591,0.2,True,0.1
mod58,0.58987554647676,0.5902365985613051,0.8628117758324851,0.8616280682982872,0.3,True,0.1
mod59,0.5898616469701925,0.5902922004517693,0.8626694704655868,0.8615957121639296,0.4,True,0.1
mod60,0.58981994845049,0.5902365985613051,0.862669780352997,0.8616280682982872,0.5,True,0.1
mod61,0.589792149437355,0.5901809966708408,0.8626618082503779,0.861754108991893,0.6,True,0.1
mod62,0.5897782499307874,0.5900697928899122,0.8626462284700084,0.861818273887511,0.7,True,0.1
mod63,0.5896392510009181,0.5900697928899122,0.862775909171161,0.861818273887511,0.8,True,0.1
mod64,0.5896392500348695,0.590014190999448,0.8627761308441354,0.8617535137461818,0.9,True,0.1
mod65,0.5896114510217345,0.590014190999448,0.862866423682265,0.8617535137461818,1.0,True,0.1
mod66,0.6504781012926252,0.6474481158485015,0.8007317591951877,0.8032070309914723,0.0,False,1.0
mod67,0.6504781003265766,0.6476149060663394,0.800865925490589,0.8031040199712706,0.1,False,1.0
mod68,0.6504919998331442,0.6476149060663394,0.800883506768382,0.8031040199712706,0.2,False,1.0
mod69,0.650464200820009,0.6476149060663394,0.8009008224923807,0.8031040199712706,0.3,False,1.0
mod70,0.6504920007991926,0.6476705079568037,0.8008832422447378,0.803069938913336,0.4,False,1.0
mod71,0.6504920007991926,0.6476149060663394,0.8008832422447378,0.8031040199712706,0.5,False,1.0
mod72,0.6504920007991926,0.6476149060663394,0.8008832422447378,0.8031040199712706,0.6,False,1.0
mod73,0.6504781003265766,0.6476149060663394,0.8009178701510231,0.8031040199712706,0.7,False,1.0
mod74,0.6504781003265766,0.6476149060663394,0.8009178701510231,0.8031040199712706,0.8,False,1.0
mod75,0.6504781003265766,0.6476149060663394,0.8009178701510231,0.8031040199712706,0.9,False,1.0
mod76,0.6504641998539604,0.6476149060663394,0.8009265259609488,0.8031040199712706,1.0,False,1.0
mod77,0.5912794227233903,0.5918489915705495,0.8627919415958031,0.8599203858314224,0.0,True,1.0
mod78,0.5916964233771924,0.5923493158633987,0.8623647186335717,0.859889516529449,0.1,True,1.0
mod79,0.5916408127922914,0.5922381738966896,0.8621445224396341,0.8595641404628751,0.2,True,1.0
mod80,0.5916130215075447,0.5923493467705084,0.8622618113392659,0.8594021325667509,0.3,True,1.0
mod81,0.5914462245305889,0.5919045316467942,0.8622770260234711,0.8597574618318928,0.4,True,1.0
mod82,0.5910709233625375,0.591570997571783,0.8626208612036661,0.8596204965605521,0.5,True,1.0
mod83,0.5906539285050265,0.5907370155754835,0.8628526680753538,0.8608766471697458,0.6,True,1.0
mod84,0.5902786340993151,0.5908482039028572,0.8631842910728318,0.8613277672362244,0.7,True,1.0
mod85,0.5900979405139375,0.5908482039028572,0.8629573729912499,0.8612697906158739,0.8,True,1.0
mod86,0.5899172478946083,0.5903478023422336,0.863009465313873,0.8616596127291928,0.9,True,1.0
mod87,0.5898477493957222,0.5902922004517693,0.8626535286346328,0.8615945753585006,1.0,True,1.0
mod88,0.6504364008408254,0.6476149060663394,0.8007838809014054,0.8031040199712706,0.0,False,10.0
mod89,0.6504781003265766,0.6477260943937131,0.8007575612202436,0.8030352258697528,0.1,False,10.0
mod90,0.6504920017652411,0.6476705079568037,0.8008569995960155,0.803069938913336,0.2,False,10.0
mod91,0.6504781012926252,0.6476149060663394,0.8007317591951877,0.8031040199712706,0.3,False,10.0
mod92,0.6505336993188952,0.6476149060663394,0.8006981857319738,0.8031040199712706,0.4,False,10.0
mod93,0.6504503013134416,0.6477260943937131,0.8007493485194827,0.8030352258697528,0.5,False,10.0
mod94,0.650464200820009,0.6475593041758752,0.8007663927036365,0.8031382515298283,0.6,False,10.0
mod95,0.6504781003265766,0.6475593041758752,0.8007575612202436,0.8031380939119327,0.7,False,10.0
mod96,0.6504920007991926,0.6476705079568037,0.800748903543534,0.803069938913336,0.8,False,10.0
mod97,0.6504781003265766,0.6476705079568037,0.8007579999759177,0.803069938913336,0.9,False,10.0
mod98,0.650464200820009,0.6476149060663394,0.8009002926491663,0.8031040199712706,1.0,False,10.0
mod99,0.5911682179764132,0.591793420587195,0.8626235323072287,0.8594571124604451,0.0,True,10.0
mod100,0.5912099242245041,0.5918490070241044,0.8627967012548723,0.8598691718168923,0.1,True,10.0
mod101,0.591279418859196,0.5918489915705495,0.8626803498135954,0.8595843741450274,0.2,True,10.0
mod102,0.5911265213888075,0.5919046398216784,0.8629645888274542,0.8594928507342245,0.3,True,10.0
mod103,0.5914601085803796,0.5919046552752333,0.8625919832308628,0.859555338091288,0.4,True,10.0
mod104,0.5914879085595631,0.5920714300395163,0.8622173650126363,0.8591678691682461,0.5,True,10.0
mod105,0.591474018713481,0.5920713836788517,0.8625975059614579,0.8597559701001923,0.6,True,10.0
