,class,tax_order,family,genus,gen_spec
15228,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,Catostomus sp.
15233,Actinopterygii,Pleuronectiformes,Scophthalmidae,Psetta,Psetta sp.
15238,Actinopterygii,Perciformes,Nototheniidae,Pseudaphritis,Pseudaphritis sp.
15245,Actinopterygii,Siluriformes,Callichthyidae,Hoplosternum,Hoplosternum sp.
15260,Actinopterygii,Cypriniformes,Cyprinidae,Agosia,Agosia sp.
15270,Actinopterygii,Characiformes,Characidae,Colossoma,Colossoma sp.
15285,Actinopterygii,Perciformes,Cichlidae,Apistogramma,Apistogramma sp.
15286,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus,Monopterus sp.
15290,Actinopterygii,Perciformes,Oplegnathidae,Oplegnathus,Oplegnathus sp.
15297,Actinopterygii,Gonorhynchiformes,Chanidae,Chanos,Chanos sp.
15300,Actinopterygii,Perciformes,Ephippidae,Chaetodipterus,Chaetodipterus sp.
15303,Actinopterygii,Siluriformes,Callichthyidae,Callichthys,Callichthys sp.
15304,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus sp.
15307,Actinopterygii,Perciformes,Kyphosidae,Microcanthus,Microcanthus sp.
15317,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus sp.
15328,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphyosemion,Aphyosemion sp.
15336,Actinopterygii,Perciformes,Pomacentridae,Amphiprion,Amphiprion sp.
15360,Actinopterygii,Perciformes,Cichlidae,Geophagus,Geophagus sp.
15366,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,Pseudoplatystoma sp.
15368,Actinopterygii,Cypriniformes,Cyprinidae,Hesperoleucus,Hesperoleucus sp.
15378,Actinopterygii,Cypriniformes,Cyprinidae,Notemigonus,Notemigonus sp.
15384,Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,Porichthys sp.
15395,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus sp.
15408,Actinopterygii,Polypteriformes,Polypteridae,Polypterus,Polypterus sp.
15411,Actinopterygii,Cypriniformes,Catostomidae,Hypentelium,Hypentelium sp.
15415,Actinopterygii,Perciformes,Gobiidae,Gobiosoma,Gobiosoma sp.
15430,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja sp.
15441,Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius,Pungitius sp.
15446,Actinopterygii,Mugiliformes,Mugilidae,Rhinomugil,Rhinomugil sp.
15461,Actinopterygii,Siluriformes,Callichthyidae,Dianema,Dianema sp.
15463,Actinopterygii,Perciformes,Siganidae,Siganus,Siganus sp.
15466,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,Mastacembelus sp.
15468,Actinopterygii,Perciformes,Sparidae,Stenotomus,Stenotomus sp.
15479,Actinopterygii,Perciformes,Lutjanidae,Ocyurus,Ocyurus sp.
15485,Actinopterygii,Perciformes,Anabantidae,Betta,Betta sp.
15491,Actinopterygii,Siluriformes,Ictaluridae,Noturus,Noturus sp.
15528,Actinopterygii,Cypriniformes,Cyprinidae,Scardinius,Scardinius sp.
15529,Actinopterygii,Cypriniformes,Cyprinidae,Onychostoma,Onychostoma sp.
15535,Actinopterygii,Cypriniformes,Cyprinidae,Tanichthys,Tanichthys sp.
15540,Actinopterygii,Cypriniformes,Cyprinidae,Erimonax,Erimonax sp.
15561,Actinopterygii,Scorpaeniformes,Cottidae,Megalocottus,Megalocottus sp.
15582,Actinopterygii,Perciformes,Sciaenidae,Nibea,Nibea sp.
15583,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinella,Cyprinella sp.
15595,Actinopterygii,Atheriniformes,Atherinidae,Leuresthes,Leuresthes sp.
15599,Actinopterygii,Cypriniformes,Cyprinidae,Phenacobius,Phenacobius sp.
15600,Actinopterygii,Perciformes,Centrarchidae,Centrarchus,Centrarchus sp.
15602,Actinopterygii,Siluriformes,Ictaluridae,Pylodictis,Pylodictis sp.
15622,Actinopterygii,Pleuronectiformes,Bothidae,Scophthalmus,Scophthalmus sp.
15624,Actinopterygii,Characiformes,Anostomidae,Leporinus,Leporinus sp.
15626,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon sp.
15628,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,Huso sp.
15633,Actinopterygii,Characiformes,Citharinidae,Distichodus,Distichodus sp.
15637,Actinopterygii,Perciformes,Cichlidae,Cichla,Cichla sp.
15653,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,Trichomycterus sp.
15661,Actinopterygii,Osteoglossiformes,Hiodontidae,Hiodon,Hiodon sp.
15669,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys sp.
15670,Actinopterygii,Siluriformes,Bagridae,Hemibagrus,Hemibagrus sp.
15673,Actinopterygii,Perciformes,Serranidae,Paralabrax,Paralabrax sp.
