,class,tax_order,family,genus,species,gen_spec
81,Actinopterygii,Perciformes,Sparidae,Pagrus,major,Pagrus major
82,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,dancena,Oryzias dancena
83,Actinopterygii,Perciformes,Cichlidae,Tilapia,sparrmanii,Tilapia sparrmanii
84,Actinopterygii,Cypriniformes,Catostomidae,Catostomus,commersoni,Catostomus commersoni
85,Actinopterygii,Cypriniformes,Cyprinidae,Pimephales,notatus,Pimephales notatus
86,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii
87,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,brama,Abramis brama
88,Actinopterygii,Perciformes,Centrarchidae,Lepomis,megalotis,Lepomis megalotis
89,Actinopterygii,Perciformes,Gobiidae,Gobiosoma,bosc,Gobiosoma bosc
90,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,duboulayi,Melanotaenia duboulayi
91,Actinopterygii,Perciformes,Carangidae,Trachinotus,carolinus,Trachinotus carolinus
92,Actinopterygii,Perciformes,Channidae,Channa,punctata,Channa punctata
93,Actinopterygii,Cypriniformes,Cyprinidae,Zacco,platypus,Zacco platypus
94,Actinopterygii,Perciformes,Osphronemidae,Trichogaster,pectoralis,Trichogaster pectoralis
95,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,Oreochromis niloticus
96,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,bimaculatum,Cichlasoma bimaculatum
97,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum,Campostoma anomalum
98,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,similis,Fundulus similis
99,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,vivipara,Poecilia vivipara
100,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,masou,Oncorhynchus masou
101,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mossambicus,Oreochromis mossambicus
102,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,fera,Coregonus fera
103,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,chrysocephalus,Luxilus chrysocephalus
104,Actinopterygii,Osteoglossiformes,Notopteridae,Notopterus,notopterus,Notopterus notopterus
105,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,arcticus,Thymallus arcticus
106,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,Oncorhynchus gorbuscha
107,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,nerka,Oncorhynchus nerka
108,Actinopterygii,Beloniformes,Adrianichthyidae,Oryzias,melastigma,Oryzias melastigma
109,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,conchonius,Barbus conchonius
110,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,rostrata,Anguilla rostrata
